country,year,sex,age,suicides_no,population,suicides_per_thousand,,,,183.3528646
Albania,2014,female,75+ years,0,73945,0,,,,
Albania,2014,male,15-24 years,0,250345,0,,,,
Albania,2014,male,25-34 years,0,213828,0,,,,
Albania,2014,male,35-54 years,0,373493,0,,,,
Albania,2014,male,5-14 years,0,194554,0,,,,
Albania,2014,male,55-74 years,0,277604,0,,,,
Albania,2014,male,75+ years,0,61678,0,,,,
Albania,2015,female,15-24 years,0,212324,0,,,,
Albania,2015,female,25-34 years,0,199024,0,,,,
Albania,2015,female,35-54 years,0,400275,0,,,,
Albania,2015,female,5-14 years,0,168140,0,,,,
Albania,2015,female,55-74 years,0,289055,0,,,,
Albania,2015,female,75+ years,0,76861,0,,,,
Albania,2015,male,15-24 years,0,240777,0,,,,
Albania,2015,male,25-34 years,0,222680,0,,,,
Albania,2015,male,35-54 years,0,374464,0,,,,
Albania,2015,male,5-14 years,0,184114,0,,,,
Albania,2015,male,55-74 years,0,287770,0,,,,
Albania,2015,male,75+ years,0,64200,0,,,,
Anguilla,1983,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1983,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1983,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1983,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1983,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1983,female,75+ years,0,1664091.14,0,,,,
Anguilla,1983,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1983,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1983,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1983,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1983,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1983,male,75+ years,0,1664091.14,0,,,,
Anguilla,1984,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1984,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1984,female,35-54 years,0,1664091.14,0,,,,
